Case_ID,Product,Folder,Language,Ground_Truth,GT_Support_Status,Strongest_Mechanism,Multiple_Defects_Coexist,Match_Rate_Pct,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Col_dx_Std,Mis_Direction_Coherence,Mis_Has_Evidence,Ov_Max_Intersection_Area_px2,Ov_Total_Intersection_Area_px2,Ov_Horizontal_Intrusion_px,Ov_Vertical_Intrusion_px,Ov_Gap_Collapse_px,Ov_Has_Evidence,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Clipping_Elements_Count,Tr_Container_Accommodated,Tr_Has_Evidence,Un_Genuine_Untrans_Strings,Un_Latin_Words_Preserved,Un_English_Chars_Preserved,Un_Tech_Brand_Tokens,Un_Has_Evidence,HK_Conflict_Count,HK_Has_Evidence
63,Civil3d,Civil3d-19,ESP,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,90.5,97.0,48.5,48.5,-0.189,True,0,0,0,0,76,False,2,0,0,2,True,0,0,0,0,False,0,False
64,Civil3d,Civil3d-20,PTB,Truncation,PARTIALLY_SUPPORTED,NO_STRONG_OBSERVABLE_DEFECT,False,100.0,2.0,12.04,12.0,0.002,False,0,0,0,0,158,False,0,0,0,0,False,0,0,0,2,False,0,False
65,Civil3d,Civil3d-21,ITA,Truncation,UNSUPPORTED,NO_STRONG_OBSERVABLE_DEFECT,False,100.0,2.0,2.0,0.75,1.0,False,0,0,0,0,20,False,0,0,0,0,False,0,0,0,11,False,0,False
66,Civil3d,Civil3d-26,ITA,Truncation,PARTIALLY_SUPPORTED,UNTRANSLATED_USER_FACING_TEXT,False,100.0,0.0,3.5,3.5,0.75,False,0,0,0,0,14,False,0,0,0,0,False,1,2,16,0,True,0,False
67,Civil3d,Civil3d-32,HUN,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,99.0,4.0,4.0,1.15,1.0,False,0,0,0,0,94,False,1,0,0,0,True,5,14,78,1,True,0,False
68,Inventor,Inventor-03,CHS,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,97.0,152.0,150.0,60.01,-0.182,False,1900,1976,100,19,197,True,1,0,0,0,True,0,0,0,5,False,0,False
69,Inventor,Inventor-05,PLK,Truncation,PARTIALLY_SUPPORTED,UNTRANSLATED_USER_FACING_TEXT,False,100.0,1.0,13.04,0.47,1.0,False,0,0,0,0,71,False,0,0,0,0,False,3,3,19,0,True,0,False
70,Inventor,Inventor-18,FRA,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,1.0,2.0,0.43,0.0,False,0,0,0,0,95,False,1,0,0,0,True,2,2,20,0,True,0,False
71,Inventor,Inventor-19,CSY,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,122.0,146.29,41.2,0.263,True,1540,8356,120,20,136,True,5,0,0,5,True,0,0,0,0,False,0,False
72,Inventor,Inventor-21,CSY,Truncation,DIRECTLY_SUPPORTED,TEXT_CONTAINER_CLIPPING,True,100.0,62.0,65.5,53.0,0.136,False,912,912,48,19,179,True,2,0,0,29,True,4,4,65,4,True,0,False
